Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Saint Kitts and Nevis,2023-03-09,6597,47,0,0,12402.24093848699,0.7124450507806579
Saint Lucia,2023-03-09,30004,409,0,0,16339.467077640242,1.3631515797893614
Saint Vincent and the Grenadines,2023-03-09,9589,123,0,0,8642.86551236176,1.2827197830847847
Samoa,2023-03-09,16607,29,0,0,8467.343088767655,0.17462515806587584
San Marino,2023-03-09,23616,122,0,0,69585.7151275856,0.5165989159891599
Sao Tome and Principe,2023-03-09,6281,77,0,0,2865.9296133892435,1.2259194395796849
Saudi Arabia,2023-03-09,830044,9618,0,0,2384.2338456684515,1.1587337538732887
Senegal,2023-03-09,88926,1971,0,0,531.0939546450564,2.2164496322785237
Serbia,2023-03-09,2499269,17875,0,0,28604.36264001639,0.7152091271487783
Seychelles,2023-03-09,50665,172,0,0,51520.23591620907,0.3394848514753775
Sierra Leone,2023-03-09,7760,126,0,0,97.27986200299988,1.6237113402061856
Singapore,2023-03-09,2235294,1722,0,0,38207.91362147484,0.07703684615983401
Slovakia,2023-03-09,2667289,21033,0,0,49078.75523118796,0.7885534713336275
Slovenia,2023-03-09,1331196,7077,0,0,64032.68601378016,0.5316271983990336
Solomon Islands,2023-03-09,24575,153,0,0,3764.218252667502,0.6225839267548321
Somalia,2023-03-09,27324,1361,0,0,171.9223777134135,4.980969111403894
South Africa,2023-03-09,4066641,102595,0,0,6856.7371830333805,2.5228437917190134
South Sudan,2023-03-09,18368,138,0,0,164.09187679994756,0.7513066202090593
Spain,2023-03-09,13770429,119479,0,0,30421.379206394882,0.8383455537046676
Sri Lanka,2023-03-09,672037,16830,0,0,3138.416634560377,2.50432639869531
Sudan,2023-03-09,63829,5017,0,0,145.56457030104653,7.860063607451159
Summer Olympics 2020,2023-03-09,865,0,0,0,NA,0
Suriname,2023-03-09,82467,1404,0,0,14057.657755943228,1.7024991814907782
Sweden,2023-03-09,2698535,23731,0,0,25840.115493295176,0.8536929992993989
Switzerland,2023-03-09,4413911,14209,0,0,51000.6449735852,0.32191405762372644
Syria,2023-03-09,57467,3164,0,0,328.3705291749904,5.505768528024779
Taiwan*,2023-03-09,9970937,17672,0,0,41865.18535779928,0.1772350983663822
Tajikistan,2023-03-09,17786,125,0,0,186.4821514584003,0.7027999550208028
Tanzania,2023-03-09,42906,846,0,0,71.82818328919811,1.9717522024891625
Thailand,2023-03-09,4728182,33918,0,0,6773.901848507746,0.7173581727606932
Timor-Leste,2023-03-09,23419,138,0,0,1776.2631954989297,0.5892651266066015
Togo,2023-03-09,39396,290,0,0,475.8696888184756,0.7361153416590517
Tonga,2023-03-09,16810,13,0,0,15903.951862399124,0.07733491969066032
Trinidad and Tobago,2023-03-09,189918,4355,0,0,13570.505276561264,2.2930949146473742
Tunisia,2023-03-09,1151126,29341,0,0,9739.937444462626,2.548895603087759
Tuvalu,2023-03-09,2805,0,0,0,23787.31343283582,0
US,2023-03-09,103755185,1123243,0,0,30610.25691765074,4.31335851812169
Uganda,2023-03-09,170544,3630,0,0,372.84711746573095,2.128482972136223
Ukraine,2023-03-09,5711818,119281,0,0,12149.631454787508,2.2321582736127583
United Arab Emirates,2023-03-09,1053068,2349,0,0,10647.375232548737,0.22306251827992116
United Kingdom,2023-03-09,24629922,220721,0,0,35411.075147731055,0.48588827219451164
Uruguay,2023-03-09,1034303,7617,0,0,29775.022619797124,0.7364379683709706
Uzbekistan,2023-03-09,251247,1637,0,0,750.6812457627086,0.6515500682595216
Vanuatu,2023-03-09,12014,14,0,0,4104.824381577149,0.1165307141668054
Venezuela,2023-03-09,552157,5854,0,0,1941.7573034240504,1.060205702363639
Vietnam,2023-03-09,11526994,43186,0,0,11842.163348525424,0.3746510148265888
West Bank and Gaza,2023-03-09,703228,5708,0,0,13784.956960969268,0.8116855415313383
Winter Olympics 2022,2023-03-09,535,0,0,0,NA,0
Yemen,2023-03-09,11945,2159,0,0,40.04899354817252,18.07450816241105
Zambia,2023-03-09,343135,4057,0,0,1866.491629984319,1.182333483905751
Zimbabwe,2023-03-09,264276,5671,0,0,1778.0885285919792,2.1458626587355645
